Inquiry Number,BM #,Description,SO #,Order Date,AR Invoice #,AR Invoice Date,Qty,Unit Price,Selling Price (as per SO / AR Invoice),Margin (in %),Tax Type,Tax Rate,Tax Amount,Gross Total Selling
1,BM1A8M0,Triple 8 Brainsaver Rubber Water Helmet (Medium),100000443,10-Jan-15,005/14.15,27-Feb-2015,10,4194,41940,44%,12.5% VAT,13%,5243,47183
1,BM1A8M2,Water Proof Flash Light,100000443,10-Jan-15,005/14.15,27-Feb-2015,5,1055,5275,38%,12.5% VAT,13%,686,5961
1,BM1A8M1,Under water Light Stick,100000443,10-Jan-15,005/14.15,27-Feb-2015,5,1312,6560,43%,12.5% VAT,13%,853,7413
2,BM1A7M2,Safety Glasses Clear Scratch-Resistant,100000444,20-Jan-15,002/14.15,26-Feb-2015,200,81,16200,-113%,12.5% VAT,13%,2106,18306
2,BM1A4Q8,G6626 Coated Gloves XL Black/Black PR,100000444,20-Jan-15,002/14.15,26-Feb-2015,500,88,44000,-53%,12.5% VAT,13%,5720,49720
2,BM1A7I9,D0726 Mechanics Gloves Black L PR,100000444,20-Jan-15,002/14.15,26-Feb-2015,600,975,"5,85,000.00",9%,12.5% VAT,13%,76050,"6,61,050"
25,BM1A7H4,Epoxy Adhesive Fast Bond 2 oz Tube,100000765-1,22-Jan-15,004/14.15,27-Feb-2015,5,2340,11700,82%,12.5% VAT,13%,1521,13221
2978,BM0Z1A1,Petol - Flange Wrench,100000241,18-Feb-15,0586/15.16,28-Mar-2016,2,19811.5,39623,48%,2.0% VAT,2%,792,40415
3329,BM1A5H9,¾” pipe bender,100000187,19-Feb-15,0496/15.16,22-Feb-2016,1,3822,3822,47%,12.5% VAT,13%,497,4319
3329,BM1A5I1,4 core cable rated for 32 Amps,100000187,19-Feb-15,0496/15.16,22-Feb-2016,20,140.95,2819,24%,12.5% VAT,13%,366,3185
3329,BM1A5H7,"HSS End Mill Cutter As per IS 6353-1991
Prallel Shank
Size : 25mm",100000187,19-Feb-15,0496/15.16,22-Feb-2016,1,1623,1623,39%,12.5% VAT,13%,211,1834
3329,BM1A5H6,"S.S.304 GRADE BOLTS M8 – 30 MM

",100000187,19-Feb-15,0496/15.16,22-Feb-2016,50,10.04,502,39%,12.5% VAT,13%,65,567
3329,BM1A5I0,"ELCB of 40 amps with break current of 100 mAmps, 4POLE",100000187,19-Feb-15,0496/15.16,22-Feb-2016,2,2821.5,5643,-66%,12.5% VAT,13%,734,6377
3329,BM1A5I2,Digital stop watch,100000187,19-Feb-15,0503/15.16,25-Feb-2016,2,836,1672,42%,12.5% VAT,13%,217,1889
3329,BM1A5H5,"S.S.304 GRADE BOLTS M8 – 15 MM
",100000187,19-Feb-15,0496/15.16,22-Feb-2016,25,11.36,284,55%,12.5% VAT,13%,37,321
3329,BM1A5H8,S.S.304 GRADE SCREW M6- 15 MM,100000187,19-Feb-15,0496/15.16,22-Feb-2016,50,8.8,440,54%,12.5% VAT,13%,57,497
48,BM1A7J7,Swaged Cartridge Heater,100000527-1,27-Feb-15,003/14.15,27-Feb-2015,4,2500,10000,58%,12.5% VAT,13%,1300,11300
53,BM1A7N1,Tubing Heat Shrink Kit,100000529,27-Feb-15,008/14.15,27-Feb-2015,1,6950,6950,34%,12.5% VAT,13%,904,7854
66,BM1A7A5,Replacement Key Tags PK 50,100000530-1,27-Feb-15,007/14.15,27-Feb-2015,2,1020,2040,31%,12.5% VAT,13%,265,2305
66,BM1A7A4,Key Control Cabinet 120 Units,100000530-1,27-Feb-15,007/14.15,27-Feb-2015,1,6550,6550,36%,12.5% VAT,13%,852,7402
67,BM1A7L8,Hose Whip 18 In,100000534,27-Feb-15,006/14.15,27-Feb-2015,18,508,9144,31%,12.5% VAT,13%,1189,10333
27,BM1A7J2,Strapping Cutter Regular Duty L 9 In,100000526,02-Mar-15,011/14.15,23-Mar-2015,1,3390,3390,8%,12.5% VAT,13%,441,3831
27,BM1A7J2,Strapping Cutter Regular Duty L 9 In,100000526,02-Mar-15,034/15.16,27-Apr-2015,1,3390,3390,8%,12.5% VAT,13%,441,3831
27,BM1A7Q5,Stretch Wrap Dispenser 12 in to 20 In.,100000526,02-Mar-15,011/14.15,23-Mar-2015,2,5685,11370,13%,12.5% VAT,13%,1478,12848
27,BM1A6F9,H2321 Rolling Cabinet 27 x 18 x 35 In Red,100000526,02-Mar-15,012/14.15,30-Mar-2015,2,79906,"1,59,812.00",23%,12.5% VAT,13%,20776,"1,80,588"
27,BM1A6A2,Utility Cart 500 lb Load Cap.,100000526,02-Mar-15,011/14.15,23-Mar-2015,2,29563,59126,36%,12.5% VAT,13%,7686,66812
27,BM1A6A9,Seat Creeper 15-3/4 Lx14-1/2 W x15 H In.,100000526,02-Mar-15,011/14.15,23-Mar-2015,4,6522,26088,49%,12.5% VAT,13%,3391,29479
27,BM1A7I7,Utility Cart Steel 41 Lx24 W 2000 lb.,100000526,02-Mar-15,012/14.15,30-Mar-2015,2,63997,"1,27,994.00",52%,12.5% VAT,13%,16639,"1,44,633"
213,BM1A8M4,Leather Safety Shoes Steel Toe,100000546,03-Mar-15,015/15.16,15-Apr-2015,6,620,3720,6%,12.5% VAT,13%,484,4204
203,BM1A7N0,Film Cutter/Tape Splitter 6-1/2 In. Ylw,100000485,04-Mar-15,027/14.15,31-Mar-2015,300,145,43500,-4%,12.5% VAT,13%,5655,49155
222,BM1A7U1,Grease Gun Lever Handle 10 000 psi,100000516,04-Mar-15,012/15.16,10-Apr-2015,4,3123,12492,27%,12.5% VAT,13%,1624,14116
246,BM1A7J8,Flashlight Inc Orange 10 000 CP D,100001359,04-Mar-15,024/14.15,31-Mar-2015,6,736,4416,34%,12.5% VAT,13%,574,4990
246,BM1A6B0,Adjustable Wrench 6 in. Chrome Cushion,100001359,04-Mar-15,024/14.15,31-Mar-2015,4,1665,6660,47%,12.5% VAT,13%,866,7526
246,BM1A7Q6,Safety Approved Headlamp LED 105Lm Black,100001359,04-Mar-15,024/14.15,31-Mar-2015,2,4860,9720,52%,12.5% VAT,13%,1264,10984
14,BM1A7L4,Hi Vis Vest Unrated Universal Lime,100000523,07-Mar-15,056/15.16,13-May-2015,4,797,3188,33%,12.5% VAT,13%,414,3602
145,BM1A7Q4,D7963 Pressure Gauge 0 to 5000 psi 2-1/2In,100000540,09-Mar-15,009/14.15,9-Mar-2015,1,4632,4632,-258%,12.5% VAT,13%,602,5234
211,BM1A6M0,Welder Jacket – Leather ( Full Sleeve ),100000545,09-Mar-15,039/15.16,6-May-2015,2,2898,5796,53%,2.0% VAT,2%,116,5912
211,BM1A6M0,Welder Jacket – Leather ( Full Sleeve ),100000545,09-Mar-15,040/15.16,6-May-2015,1,2898,2898,50%,2.0% VAT,2%,58,2956
228,BM1A6B6,O-Ring Dash 044 Silicone 0.07 In. PK10,100000552,09-Mar-15,016/15.16,17-Apr-2015,1,1120,1120,11%,12.5% VAT,13%,146,1266
228,BM1A7M1,Skt Cap Screw Std 1/4-28x2-1/4 PK5,100000552,09-Mar-15,016/15.16,17-Apr-2015,1,1233,1233,24%,12.5% VAT,13%,160,1393
228,BM1A6B7,O-Ring Dash 049 Silicone 0.07 In. PK10,100000552,09-Mar-15,016/15.16,17-Apr-2015,1,1806,1806,7%,12.5% VAT,13%,235,2041
228,BM1A7P8,Retain Ring Ext Dia 17mm PK 100,100000552,09-Mar-15,026/14.15,31-Mar-2015,1,1919,1919,13%,12.5% VAT,13%,249,2168
228,BM1A6C8,Dowel Pin Std M4x12mm L Pk 100,100000552,09-Mar-15,026/14.15,31-Mar-2015,1,2519,2519,12%,12.5% VAT,13%,327,2846
228,BM1A7M1,Skt Cap Screw Std 1/4-28x2-1/4 PK5,100000552,09-Mar-15,055/15.16,13-May-2015,1,1233,1233,24%,12.5% VAT,13%,160,1393
228,BM1A7P9,Spring Pin Slot Stl M3x20mm Pk200,100000552,09-Mar-15,026/14.15,31-Mar-2015,1,1680,1680,13%,12.5% VAT,13%,218,1898
228,BM1A7U5,Socket Set Screw Cup 10-24x1/4 PK 100,100000552,09-Mar-15,026/14.15,31-Mar-2015,1,1255,1255,8%,12.5% VAT,13%,163,1418
90,BM1A7R4,Feeler Gage Set 13 PC,100000538,10-Mar-15,010/14.15,18-Mar-2015,2,5220,10440,58%,2.0% VAT,2%,209,10649
90,BM1A7R4,Feeler Gage Set 13 PC,100000538,10-Mar-15,010/14.15,18-Mar-2015,2,3843,7686,42%,2.0% VAT,2%,154,7840
139,BM1A7M0,D1811 Disposable Gloves Nitrile L Teal PK100,100000539,10-Mar-15,001/15.16,3-Apr-2015,1,2640,2640,17%,12.5% VAT,13%,343,2983
200,BM1A7K0,Striping Machine,100000543,10-Mar-15,007/15.16,10-Apr-2015,1,75000,75000,19%,12.5% VAT,13%,9750,84750
235,BM1A7C1,Slotted Shim Asst SS A-2 X 2 In 260 PC,100001360,10-Mar-15,025/14.15,31-Mar-2015,1,23592,23592,58%,12.5% VAT,13%,3067,26659
235,BM1A7C2,Slotted Shim Asst SS C-4 X 4 In 260 PC,100001360,10-Mar-15,025/14.15,31-Mar-2015,1,61607,61607,63%,12.5% VAT,13%,8009,69616
11,BM1A7N0,Film Cutter/Tape Splitter 6-1/2 In. Ylw,100000446,11-Mar-15,033/14.15,31-Mar-2015,28,145,4060,-4%,12.5% VAT,13%,528,4588
171,BM1A7H8,Anti-Vibration Gloves L Gray/Red PR,100000481,11-Mar-15,008/15.16,10-Apr-2015,1,969,969,41%,2.0% VAT,2%,19,988
254,BM1A8Q1,"Cotton Dotted Hand Gloves, Item Code: GL-013 - Midas Safety, Grade 45",100000559,11-Mar-15,035/15.16,29-Apr-2015,50,17,850,-121%,12.5% VAT,13%,111,961
254,BM1A8Q2,"Weilding Hand Gloves - Weilder, Item Code: LP003, Midas Safety",100000559,11-Mar-15,035/15.16,29-Apr-2015,10,131,1310,6%,12.5% VAT,13%,170,1480
254,BM1A8Q0,"Hand Gloves Frontier 75 Style:921C75 Item Code: GL021, Midas Safety",100000559,11-Mar-15,035/15.16,29-Apr-2015,20,103,2060,6%,12.5% VAT,13%,268,2328
254,BM1A8Q3,Racheting Type Safety Helmet - White,100000559,11-Mar-15,035/15.16,29-Apr-2015,20,194,3880,20%,12.5% VAT,13%,504,4384
254,BM1A8Q5,Racheting Type Safety Helmet - Yellow,100000559,11-Mar-15,035/15.16,29-Apr-2015,10,194,1940,22%,12.5% VAT,13%,252,2192
254,BM1A8Q4,Racheting Type Safety Helmet - Red,100000559,11-Mar-15,035/15.16,29-Apr-2015,10,194,1940,22%,12.5% VAT,13%,252,2192
254,BM1A8Q6,"K-SAFE safety helmets having adjustable ratchet type head band, fitted with universal acrylic visor size 7""x12"" (only face shield)",100000559,11-Mar-15,035/15.16,29-Apr-2015,10,188,1880,29%,12.5% VAT,13%,244,2124
254,BM1A8P9,Cut Resistant Hand Gloves - NITRILON FLEX. Item Code GL-022-Midas,100000559,11-Mar-15,035/15.16,29-Apr-2015,50,40,2000,54%,12.5% VAT,13%,260,2260
270,BM1A7L6,Pry Bar Set Pieces 5 Steel 34-3/4 in L,100000570,11-Mar-15,006/15.16,10-Apr-2015,1,10472,11120,28%,12.5% VAT,13%,1446,12566
96,BM1A7K6,"Morse Taper Arbor, Morse Taper: 3,",100000979,12-Mar-15,010/15.16,10-Apr-2015,1,2150,2150,13%,12.5% VAT,13%,280,2430
99,BM1A7J6,"Spring Assort, Compr, Stl, 100 Pieces",100000978,12-Mar-15,009/15.16,10-Apr-2015,1,2650,2650,12%,12.5% VAT,13%,345,2995
269,BM1A3M2,Dry Suits,100000567,14-Mar-15,046/15.16,9-May-2015,20,45000,"9,00,000.00",32%,,0%,-,"9,00,000"
281,BM1A6E8,Paint Brush 1in. 6-3/4in.,100000499,16-Mar-15,029/15.16,27-Apr-2015,35,27,945,-45%,12.5% VAT,13%,123,1068
281,BM1A7R0,G0550 Single Ring Tool Holder 1-3/4 In ID PK5,100000499,16-Mar-15,029/15.16,27-Apr-2015,15,438,6570,10%,12.5% VAT,13%,854,7424
281,BM1A7P2,Nozzle Non Drip,100000499,16-Mar-15,029/15.16,27-Apr-2015,2,945,1890,11%,12.5% VAT,13%,246,2136
281,BM1A7I5,Magnetic Double Prong Tool Holder,100000499,16-Mar-15,029/15.16,27-Apr-2015,4,1710,6840,27%,12.5% VAT,13%,889,7729
283,BM1A7L2,Anti-Vibration Gloves M Covert Black PR,100000573,16-Mar-15,005/15.16,10-Apr-2015,12,3043,36516,21%,12.5% VAT,13%,4747,41263
283,BM1A7L1,Anti-Vibration Gloves L Covert Black PR,100000573,16-Mar-15,005/15.16,10-Apr-2015,8,3043,24344,5%,12.5% VAT,13%,3165,27509
283,BM1A7L3,Anti-Vibration Gloves XL Covert Black PR,100000573,16-Mar-15,005/15.16,10-Apr-2015,4,3043,12172,5%,12.5% VAT,13%,1582,13754
297,BM1A7N9,Packing Extractor Set A Corkscrew,100000576,16-Mar-15,011/15.16,10-Apr-2015,1,8100,8100,16%,12.5% VAT,13%,1053,9153
307,BM1A8N9,Stanley Socket set (pack of 46),100000583,17-Mar-15,042/15.16,7-May-2015,1,1428,1428,-65%,12.5% VAT,13%,186,1614
307,BM1A8N7,Bosch GWS 6-100,100000583,17-Mar-15,042/15.16,7-May-2015,2,1900,3800,-8%,12.5% VAT,13%,494,4294
307,BM1A8N5,Bosch GBM 13RE,100000583,17-Mar-15,042/15.16,7-May-2015,1,3100,3100,-7%,12.5% VAT,13%,403,3503
271,BM1A6A1,Fiberglass Patch White 3x6 In UV Cured,100000495,18-Mar-15,030/15.16,27-Apr-2015,5,969,4845,29%,2.0% VAT,2%,97,4942
305,BM1A7N0,Film Cutter/Tape Splitter 6-1/2 In. Ylw,100000581,18-Mar-15,002/15.16,9-Apr-2015,600,145,87000,-3%,12.5% VAT,13%,11310,98310
314,BM1A4Q7,Lockwire Spool 0.032 Dia 1820 ft.,100000585,18-Mar-15,004/15.16,10-Apr-2015,1,9030,9589,55%,12.5% VAT,13%,1247,10836
377,BM1A4Q9,Padlock KD 15/16 In H 4 Pin Steel,100000598,20-Mar-15,025/15.16,27-Apr-2015,10,790,8418,29%,12.5% VAT,13%,1094,9512
147,BM1A6P9,Lantern Battery Alkaline 6V Screw Term,100000541,24-Mar-15,032/15.16,27-Apr-2015,5,1412,7060,14%,12.5% VAT,13%,918,7978
253,BM1A7R1,Abrsv Cut Whl 14 In D 7/64 In T PK 4,100000557,24-Mar-15,031/15.16,27-Apr-2015,2,5007,10014,40%,12.5% VAT,13%,1302,11316
253,BM1A4R5,Chop Saw 14 in Blade 1 in Arbor,100000557,24-Mar-15,031/15.16,27-Apr-2015,1,32428,32428,45%,12.5% VAT,13%,4216,36644
309,BM1A6E1,Screwdriver Bit Set 1/4 Hex Dr 175 Pc,100000502,27-Mar-15,028/15.16,27-Apr-2015,1,10832,10832,25%,12.5% VAT,13%,1408,12240
350,BM1A6P3,Felt Sheet F5 3/4 In Thick 12 x 12 In,100000515,27-Mar-15,026/15.16,27-Apr-2015,1,3951,3951,25%,12.5% VAT,13%,514,4465
217,BM1A3M1,Masking tape for Painting 150 - TM,100000517,28-Mar-15,013/15.16,16-Apr-2015,140,402,56280,36%,12.5% VAT,13%,7316,63596
30,BM1A7N5,D1914 Lockout Padlock KD Hi-Vis Yellow 1/4In.,100000456,30-Mar-15,016/14.15,30-Mar-2015,6,825,4950,11%,12.5% VAT,13%,644,5594
30,BM1A7N4,,100000456,30-Mar-15,016/14.15,30-Mar-2015,6,825,4950,11%,12.5% VAT,13%,644,5594
34,BM1A7Q3,Chart 10.313 In 0 to 100 7 Day Pk 100,100000457,30-Mar-15,015/14.15,30-Mar-2015,1,3100,3100,53%,12.5% VAT,13%,403,3503
138,BM1A7S1,Mach Screw Button 10-24x1/2 L PK50,100001365,30-Mar-15,014/14.15,30-Mar-2015,4,1962,7848,48%,12.5% VAT,13%,1020,8868
138,BM1A6A4,Skt Cap Screw Std 5/16-18x1 PK25,100001365,30-Mar-15,014/14.15,30-Mar-2015,4,2220,8880,51%,12.5% VAT,13%,1154,10034
402,BM1A7H6,Agricultural Sprayer Pump 3/8 NPT 2.1GPM,100000604,30-Mar-15,023/15.16,27-Apr-2015,2,10115,21482,33%,12.5% VAT,13%,2793,24275
3,BM1A7Q9,Notice Sign 8 x 15In BK/YEL Spill STA,100000520,31-Mar-15,023/14.15,31-Mar-2015,6,2465,14790,60%,12.5% VAT,13%,1923,16713
12,BM1A9G5,"Drum Wrench, Non-Sparking, 11 In",100000448,31-Mar-15,032/14.15,31-Mar-2015,2,2000,4000,59%,12.5% VAT,13%,520,4520
15,BM1A7S2,Compression Lug 750 kcmil 1/2 Stud Black,100000450,31-Mar-15,030/14.15,31-Mar-2015,30,2517.5,75525,1%,12.5% VAT,13%,9818,85343
82,BM1A7S9,G2613 Overshoes Mens L Pull On Blk/Red PVC PR,100000536,31-Mar-15,022/14.15,31-Mar-2015,1,3250,3250,54%,2.0% VAT,2%,65,3315
82,BM1A7S8,G2613 Overshoe Mens M Pull On Blk/Ylw PVC PR,100000536,31-Mar-15,022/14.15,31-Mar-2015,2,3250,6500,54%,2.0% VAT,2%,130,6630
82,BM1A7S7,G2613 Overshoe Men S Pull On Blk/White PVC PR,100000536,31-Mar-15,022/14.15,31-Mar-2015,1,3250,3250,54%,2.0% VAT,2%,65,3315
84,BM1A7M4,V-Belt 4L230,100000537,31-Mar-15,021/14.15,31-Mar-2015,2,378,756,33%,12.5% VAT,13%,98,854
86,BM1A7K1,6MM SOCKET WESTWARD,100000459,31-Mar-15,020/14.15,31-Mar-2015,4,450,1800,49%,2.0% VAT,2%,36,1836
100,BM1A7S6,Strainer Grid 1 1/4 In,100000977,31-Mar-15,029/14.15,31-Mar-2015,2,1200,2400,39%,12.5% VAT,13%,312,2712
100,BM1A6B3,S Trap 17 Gauge Brass Pipe Dia 1 1/4 In,100000977,31-Mar-15,029/14.15,31-Mar-2015,2,3150,6300,47%,12.5% VAT,13%,819,7119
100,BM1A6B4,Extension 20 Gauge Pipe Dia 1 1/4 In,100000977,31-Mar-15,029/14.15,31-Mar-2015,2,950,1900,50%,12.5% VAT,13%,247,2147
103,BM1A7U3,Axial Fan 230VAC 8In H 8In W,100001363,31-Mar-15,018/14.15,31-Mar-2015,4,13855,55420,25%,12.5% VAT,13%,7205,62625
103,BM1A7U4,Exhaust Filter For 71 cfm Fan Plastic,100001363,31-Mar-15,018/14.15,31-Mar-2015,4,4675,18700,25%,12.5% VAT,13%,2431,21131
103,BM1A7O1,Jigsaw Blade T-Shank 4 in L PK 3,100001363,31-Mar-15,018/14.15,31-Mar-2015,3,502,1506,35%,12.5% VAT,13%,196,1702
107,BM1A6A5,Knot Wire Cup Brush 2 3/4 In Dia Steel,100001364,31-Mar-15,019/14.15,31-Mar-2015,12,728,8736,8%,12.5% VAT,13%,1136,9872
129,BM1A6V4,Universal AC/DC Motor,100000469,31-Mar-15,017/14.15,31-Mar-2015,1,10325,10325,56%,12.5% VAT,13%,1342,11667
159,BM1A6A8,H5935 PSA Disc Roll No Hole 6 In P500G AlO,100000542,31-Mar-15,028/14.15,31-Mar-2015,3,7062,21186,56%,12.5% VAT,13%,2754,23940
159,BM1A7M5,H5935 PSA Disc Roll No Hole 6 In P220G AlO,100000542,31-Mar-15,028/14.15,31-Mar-2015,3,7091,21273,57%,12.5% VAT,13%,2765,24038
159,BM1A7M6,H5935 PSA Disc Roll No Hole 6 In P120G AlO,100000542,31-Mar-15,028/14.15,31-Mar-2015,3,7223,21669,57%,12.5% VAT,13%,2817,24486
159,BM1A7M7,H5935 PSA Disc Roll No Hole 6 In P80G AlO,100000542,31-Mar-15,028/14.15,31-Mar-2015,3,10358,31074,70%,12.5% VAT,13%,4040,35114
271,BM1A3M3,Duct Sealing Compound WT,100000495,31-Mar-15,0142/15.16,12-Jul-2015,20,2700,54000,49%,2.0% VAT,2%,1080,55080
321,BM1A7S4,D2425 Flame Resistant Jacket Green L,100000586,31-Mar-15,027/15.16,27-Apr-2015,1,3185,3382,40%,12.5% VAT,13%,440,3822
405,BM1A6E4,SS Ball Valve FNPT 1/4 In,100000608,01-Apr-15,022/15.16,27-Apr-2015,4,2450,10406.42,3%,12.5% VAT,13%,1353,11759
405,BM1A6Q2,Needle Valve Straight 316 SS 1/4 In.,100000608,01-Apr-15,022/15.16,27-Apr-2015,2,8400,17839.58,36%,12.5% VAT,13%,2319,20159
395,BM1A7U0,EMT Conduit 1 In. 10 ft L Steel,100000599,03-Apr-15,024/15.16,30-Apr-2015,60,2250,"1,35,000.00",58%,5.0% VAT,5%,6750,"1,41,750"
395,BM1A7R3,Conduit Compression Non-Insulated 1 In,100000599,03-Apr-15,024/15.16,30-Apr-2015,200,145,29000,1%,5.0% VAT,5%,1450,30450
395,BM1A7R3,Conduit Compression Non-Insulated 1 In,100000599,03-Apr-15,0174/15.16,29-Jul-2015,100,145,15120,-47%,5.0% VAT,5%,756,15876
213,BM1A8M8,Leather Safety Shoes Steel Toe,100000546,07-Apr-15,021/15.16,25-Apr-2015,125,499,62375,-16%,12.5% VAT,13%,8109,70484
469,BM1A7N0,Film Cutter/Tape Splitter 6-1/2 In. Ylw,100000615,07-Apr-15,003/15.16,9-Apr-2015,79,145,11455,-3%,12.5% VAT,13%,1489,12944
470,BM1A7N0,Film Cutter/Tape Splitter 6-1/2 In. Ylw,100000617,07-Apr-15,047/15.16,9-May-2015,8,145,1160,-3%,12.5% VAT,13%,151,1311
432,BM1A8O5,Padlock with LONG Shackle - Key Different - Red Colour,100000613,08-Apr-15,018/15.16,22-Apr-2015,10,295,3337.95,55%,12.5% VAT,13%,434,3772
432,BM1A8O4,Padlock with LONG Shackle - Key Different - Red Colour,100000613,08-Apr-15,018/15.16,22-Apr-2015,10,295,3337.95,55%,12.5% VAT,13%,434,3772
432,BM1A8O7,Group Lock Box - Red 13 No.,100000613,08-Apr-15,018/15.16,22-Apr-2015,4,2400,10862.47,55%,12.5% VAT,13%,1412,12275
432,BM1A8O6,PLSP De - ELECTRIC Padlock with NYLON Shackle - Key Different,100000613,08-Apr-15,018/15.16,22-Apr-2015,5,550,3111.64,55%,12.5% VAT,13%,405,3516
452,BM1A5Z2,Skt Cap Screw Btn 10-24x1/2 PK100,100000511,08-Apr-15,049/15.16,14-May-2015,2,1200,2400,5%,12.5% VAT,13%,312,2712
480,BM1A7P5,Lamp Holder 660 W Lamp,100000503,08-Apr-15,052/15.16,15-May-2015,40,100,4000,37%,12.5% VAT,13%,520,4520
373,BM1A6B2,P Trap 17 Gauge Brass Pipe Dia 1 1/2 In,100000509,09-Apr-15,048/15.16,14-May-2015,10,2400,24000,35%,12.5% VAT,13%,3120,27120
478,BM1A6G9,Grease Gun Coupler 1/8inNPT PK3,100000507,09-Apr-15,053/15.16,16-May-2015,2,1000,2000,33%,12.5% VAT,13%,260,2260
10,BM1A8P3,T shirts - XL,100000521,11-Apr-15,014/15.16,11-Apr-2015,151,215,32465,-7%,5.0% VAT,5%,1623,34088
10,BM1A8P2,T shirts - Large,100000521,11-Apr-15,014/15.16,11-Apr-2015,101,215,21715,-7%,5.0% VAT,5%,1086,22801
426,BM1A8P5,T shirts - XXXL,100000612,11-Apr-15,017/15.16,20-Apr-2015,25,230,5895.38,13%,5.0% VAT,5%,295,6190
426,BM1A8P4,T shirts - XXL,100000612,11-Apr-15,017/15.16,20-Apr-2015,25,230,5895.38,-5%,5.0% VAT,5%,295,6190
426,BM1A8P3,T shirts - XL,100000612,11-Apr-15,017/15.16,20-Apr-2015,50,230,11790.75,2%,5.0% VAT,5%,590,12380
426,BM1A8P2,T shirts - Large,100000612,11-Apr-15,017/15.16,20-Apr-2015,75,230,17686.13,2%,5.0% VAT,5%,884,18570
426,BM1A8P1,T shirts - Small,100000612,11-Apr-15,017/15.16,20-Apr-2015,25,230,5895.38,-5%,5.0% VAT,5%,295,6190
425,BM1A8P6,Disposable Bedsheets,100000512,15-Apr-15,043/15.16,8-May-2015,15,300,4500,14%,5.0% VAT,5%,225,4725
453,BM1A8P0,coverall/Boiler Suit,100000508,15-Apr-15,038/15.16,4-May-2015,2,850,1700,-1%,5.0% VAT,5%,85,1785
453,BM1A8O9,coverall/Boiler Suit,100000508,15-Apr-15,038/15.16,4-May-2015,32,850,27200,-1%,5.0% VAT,5%,1360,28560
453,BM1A8O8,coverall/Boiler Suit,100000508,15-Apr-15,038/15.16,4-May-2015,16,850,13600,-1%,5.0% VAT,5%,680,14280
404,BM1A7D9,Oily Waste Can 6 Gal. Steel Yellow,100000606,17-Apr-15,050/15.16,15-May-2015,1,13287,13287,64%,12.5% VAT,13%,1727,15014
472,BM1A7Q7,LED Flashlight Safety Green 120/120/240L,100000619,17-Apr-15,050/15.16,15-May-2015,15,3331,49965,26%,12.5% VAT,13%,6495,56460
16,BM1A7S0,Filter Vacuum 1 1/4 In,100000525,23-Apr-15,019/15.16,23-Apr-2015,1,10833,10833,25%,12.5% VAT,13%,1408,12241
16,BM1A7S5,Coupling 1-1/4 In FNPT PVC,100000525,23-Apr-15,019/15.16,23-Apr-2015,1,331,331,25%,12.5% VAT,13%,43,374
16,BM1A7S3,Nipple 1 1/4 X 5 In,100000525,23-Apr-15,019/15.16,23-Apr-2015,1,177,177,19%,12.5% VAT,13%,23,200
16,BM1A7S3,Nipple 1 1/4 X 5 In,100000525,23-Apr-15,019/15.16,23-Apr-2015,1,177,177,19%,12.5% VAT,13%,23,200
809,BM1A8P3,T shirts - XL,100000630,23-Apr-15,020/15.16,23-Apr-2015,150,230,35372.25,2%,5.0% VAT,5%,1769,37141
809,BM1A8P2,T shirts - Large,100000630,23-Apr-15,020/15.16,23-Apr-2015,150,230,35372.25,2%,5.0% VAT,5%,1769,37141
809,BM1A6B1,T shirts - Medium,100000630,23-Apr-15,020/15.16,23-Apr-2015,100,230,23581.5,13%,5.0% VAT,5%,1179,24761
688,BM1A4P3,CANON PROJECTOR LAMP ASSEMBLY LV‐LP36,100000470,25-Apr-15,044/15.16,8-May-2015,1,22500,22500,-7%,12.5% VAT,13%,2925,25425
82,BM1A7S9,G2613 Overshoes Mens L Pull On Blk/Red PVC PR,100000536,27-Apr-15,033/15.16,27-Apr-2015,1,3250,3250,54%,2.0% VAT,2%,65,3315
511,BM1A7L0,Vacuum Regulator 3/4 In 2 to 30 in Hg,100000497,28-Apr-15,062/15.16,28-May-2015,1,42000,42000,89%,12.5% VAT,13%,5460,47460
207,BM1A4P4,LCD Screen + Hardware+ Software,100000544,29-Apr-15,0239/15.16,7-Sep-2015,18,"1,05,500.00","18,99,000.00",72%,12.5% VAT,13%,"2,46,870","21,45,870"
672,BM1A7H1,Cotter Pin Hairpin 0.091x2 Pk 25,100000472,30-Apr-15,061/15.16,28-May-2015,5,543,2865,19%,12.5% VAT,13%,372,3237
672,BM1A7P3,Cotter Pin Kit 130 PC,100000472,30-Apr-15,061/15.16,28-May-2015,3,3376,10328,23%,12.5% VAT,13%,1343,11671
722,BM1A7T0,Safety Bulb Pipette Filler Pk 3,100000463,04-May-15,059/15.16,28-May-2015,3,1470,4410,15%,2.0% VAT,2%,88,4498
287,BM1A6A7,Collar Shaft 1 3/8 In,100000500,05-May-15,067/15.16,28-May-2015,4,1211,5244,5%,12.5% VAT,13%,682,5926
515,BM1A5Z6,Flagging Tape Fluorescent Orange 150 ft,100000496,06-May-15,066/15.16,28-May-2015,6,356.33,2137.98,9%,12.5% VAT,13%,278,2416
515,BM1A5Z7,Flagging Tape Fluorescent Pink 150 ft,100000496,06-May-15,066/15.16,28-May-2015,6,353,2118,8%,12.5% VAT,13%,275,2393
515,BM1A5Z8,Flagging Tape Fluorescent Lime 150 ft,100000496,06-May-15,066/15.16,28-May-2015,6,353,2118,3%,12.5% VAT,13%,275,2393
